시리즈키	교재명	출판사	급	역할	구성	출판사가 밝힌 특징
ssen-mid	쎈 중등 수학	좋은책신사고	중등	유형	A·B·C 3단계 난이도, B단계는 하·중·상으로 세분	전국 중학교 학교 시험 기출을 유형별로 총정리했다고 소개합니다. 유형 수와 문제 수는 권마다 다릅니다.
ssen-high	쎈 고등 공통수학	좋은책신사고	고등	유형	A·B·C 3단계 난이도	학교 시험 출제 유형을 유형별로 정리한 문제 기본서로 소개합니다.
rpm-mid	개념원리 RPM 중학 수학	개념원리	중등	유형	교과서 문제 → 유형 익히기 → 시험에 꼭 나오는 문제 → 서술형 → 실력UP
rpm-high	개념원리 RPM 고등 공통수학	개념원리	고등	유형	유형별 문제 구성	개념 학습 뒤 유형을 정리하는 문제 기본서로 소개합니다.
gnw-mid	개념원리 중학 수학	개념원리	중등	개념	개념 설명과 예제 중심	개념의 원리를 설명하는 기본서로 소개합니다.
gnw-high	개념원리 공통수학	개념원리	고등	개념	개념 설명과 예제 중심	개념의 원리를 설명하는 기본서로 소개합니다.
didim-basic	디딤돌 초등수학 기본편	디딤돌교육	초등	개념	교과 개념과 기본 유형	교과서 개념을 익히고 기본 문제로 다지는 구성으로 소개합니다.
choisangwi	최상위 초등수학	디딤돌교육	초등	심화	심화 유형과 최상위 문제	상위권을 위한 심화 학습서로 소개합니다.
checkcheck	체크체크 수학	천재교육	중등	내신	개념 확인과 학교 시험 대비	학교 시험 대비를 겨냥한 구성으로 소개합니다.
ilpum	일품 중등 수학	좋은책신사고	중등	심화	심화 유형 중심	상위권을 위한 심화 문제서로 소개합니다.
baekbal	100발 100중 개념수학	에듀원	중등	개념	개념과 기본 문제	개념을 짚고 기본 문제로 확인하는 구성으로 소개합니다.
mapl	마플 교과서 공통수학	희망에듀	고등	개념	교과서 개념과 예제 중심	교과서 개념을 자세히 풀어 설명하는 구성으로 소개합니다.
bible	수학의 바이블 개념ON	이투스북	고등	개념	대표 예제 → 한 번 더하기 → 표현 더하기 → 실력 더하기. 연습문제는 기본 다지기·실력 다지기	교과서보다 쉽고 자세한 개념 설명을 내세우며, 대표 예제 풀이를 바로 접근·바른 풀이·Bible Says 3단계로 싣는다고 소개합니다.
blacklabel-high	블랙라벨 공통수학	진학사	고등	심화	단계별 학습 프로젝트. 고난도 문항 비율 50% 이상인 다이아몬드식 구성	내신 변별이 중요한 상황에서 1등급을 목표로 설계된 단계별 명품 수학. 특목고·강남8학군 교강사가 집필하고 내신·교육청·평가원·수능 기출을 수록했으며, 수능형 사고력을 기르도록 구성했다.
blacklabel-mid	블랙라벨 중학 수학	진학사	중등	심화	핵심개념+100점 노트 → 시험에 꼭 나오는 문제 → A등급을 위한 문제 → 종합 사고력 도전 문제 → 대단원평가	변별력이 높아지는 내신시험에서 A등급을 달성하도록 돕는 단계별 명품 수학. 기존 상위권 문제집의 비율을 뒤집은 다이아몬드식 문항 구성으로 상·최상 난도 문제를 많이 실었고, 자사고·강남8학군 교사가 집필·검토했다.
choisangwi-s	최상위S 초등수학	디딤돌교육	초등	심화	Basic Concept → 최상위 [S] → Math Master + 특별부록 복습책(본문 대표 유형·Math Master 1:1 복습)	교과서 개념뿐 아니라 심화·이후 학년 연계 개념까지 짚고, 문장+이미지로 심화 핵심을 이해시킨 뒤 경시 수준까지 풀어 상위 3%에 도전한다고 소개한다.
cube-concept	큐브수학 개념	동아출판	초등	개념	1STEP 교과서 개념 잡기(개념 확인 문제) → 2STEP 수학익힘 문제 잡기(교과 역량 문제) → 3STEP 서술형 문제 잡기(창의형 문제) → 단원 마무리·전단원 총정리	교과서 개념을 다잡는 기본서. 교과서 개념을 시각화하고, 수학익힘 유형과 5가지 수학 교과 역량 문제를 제공한다고 소개한다.
didim-applied	디딤돌 초등수학 응용편	디딤돌교육	초등	심화	진도책(교과서 개념 → 기본에서 응용으로 → 응용에서 최상위로 → 단원 평가 1·2회) + 응용탄탄북(서술형·단원 평가)	기본개념부터 심화유형까지 다잡는 심화응용 기본서. 교과통합 문제와 응용탄탄북으로 심화 서술형·수시 평가에 대비한다고 소개합니다.
didim-principle	디딤돌 초등수학 원리편	디딤돌교육	초등	개념	본책(교과서 개념 → 꼭 나오는 유형 → 실수하기 쉬운 유형 → 상위권 도전 유형 → 수시 평가 대비) + 수시 평가 자료집	한눈에 보고 이해하는 개념으로 쉽게 공부할 수 있는 교과서 기초 학습서. 교과서 핵심 개념을 한눈에 이해하고, 쉬운 유형을 반복 연습해 기본기를 강화한다고 소개합니다.
gaenyeom-high	개념+유형 공통수학	비상교육	고등	개념	[개념편] 한 번에 볼 분량의 개념 정리·부가 설명·확인 문제·유사 문제 / [유형편] 출제율 높은 문제를 유형별로 모아 유형 팁과 함께 제시	개념편과 유형편으로 이루어진 고등수학 내신 기본서. 수능·평가원·교육청 문제를 수록했다.
gaenyeom-light-elem	개념+유형 라이트 초등	비상교육	초등	유형	개념책 → 복습책(개념책 문제 1:1 복습) → 평가책(단원평가·서술형평가·학업 성취도평가). 문제 비율 하 30%·중 50%·상 20%	개념과 유형을 한번에 잡는 학습서. 「기본 라이트」의 유형 복습 시스템으로 기본 실력을 완성한다고 소개한다.
gojaengi	고쟁이 공통수학	이투스북	고등	내신	개념 정리 → STEP 1 핵심 유형(중하) → STEP 2 심화 유형(중상, 대표문항 스키마) → STEP 3 최고난도 유형	최근 10년 고등학교 중간·기말고사 시험지 2,000여 개를 분석한 유형서+심화서 형태의 중상위권 교재. 교과서 수준 기본 문항부터 고난도까지 수록하고, 내신·평가원·교육청 기출을 분석했다고 한다.
ilpum-high	일품 공통수학	좋은책신사고	고등	심화	[개념&핵심 기출] → [1등급을 위한 고난도 문제] → [1등급을 결정하는 사고력 통합 문제] → [1등급을 굳히는 실전 마무리 문제]	1등급에 도전하는 최고 수준 문제해결서. 내신 출제 가능성이 높은 최신 기출을 엄선하고, 사고력 통합 문제와 최고난도 문제를 수록했다.
