시리즈키	쓰는 사람들이 되풀이하는 말	평이 갈리는 점	본 곳의 수
didim-principle	디딤돌 교과 라인에서 가장 아래. 수학을 어려워하는 아이가 기초를 다시 쌓거나, 부담 없이 가볍게 선행할 때 쓴다고 합니다.		4
didim-basic	교과서·수학 익힘책 수준. 개념 설명 비중이 커서 처음 잡을 때 좋지만, 수업을 잘 따라가는 아이에게는 이것만으로 부족해 기본+응용으로 가라는 말이 많습니다.		5
didim-basic-applied	디딤돌에서 가장 많이 푸는 중간 단계. 한 권으로 개념부터 응용까지 간다는 칭찬과, 문제 수가 많아 시간이 오래 걸린다는 불만이 함께 나옵니다. 이 다음이 최상위입니다.	만점왕보다 확실히 어렵다는 쪽과, 기본편과 전체 난이도 차이는 크지 않다는 쪽이 갈립니다.	5
didim-applied	기본·기본+응용보다 응용 비중이 높고 뒤쪽에 최상위급 문제가 섞입니다. 개념 설명이 짧아 개념을 아직 익혀야 하는 아이에게는 어렵다는 말이 반복됩니다. 초3부터 나옵니다.	앞부분을 교과서 수준으로 보는 쪽과 책 전체를 심화로 보는 쪽이 갈립니다.	4
manjeomwang	교과서와 거의 같거나 조금 위. EBS 무료 강의가 있어 혼자 진도 맞춰 공부하기 좋다는 칭찬과, 너무 쉬워서 이것만 풀다 디딤돌로 가면 난이도 차이에 놀란다는 말이 함께 나옵니다.		5
choisangwi	초등 교과 심화의 대표. 마지막 High Level(경시 기출)에서 막히고 설명 없이는 혼자 넘기 어렵다는 말이 반복됩니다. 기본이 안 잡힌 채 넣으면 수학을 싫어하게 된다는 경고가 함께 나옵니다.	학원은 최상위를, 홈스쿨은 최상위S를 더 권하는 경향이 있습니다.	4
choisangwi-s	최상위보다 쉬운 준심화. 이름 때문에 더 어려운 줄 아는 사람이 많아 비교 글마다 이것을 먼저 바로잡습니다. 그림 풀이와 복습책이 있어 혼자 하기 좋다고 합니다.	전체 난이도는 최상위보다 아래지만, 중간의 Math Master를 더 어렵게 느끼는 학생도 있습니다.	4
gnw-mid	개념서. 학원·과외에서 오래 쓴 책이고 RPM과 짝으로 많이 씁니다. 연습문제만으로는 양이 부족해 유형서를 따로 산다는 말이 반복됩니다.	혼자 읽어서 개념이 잡히느냐에서 갈립니다. 학원용으로 강하다는 데는 이견이 적습니다.	4
ssen-mid	중등 유형서의 기준점. 사람들이 '쎈 수준'이라고 하면 보통 B단계를 말합니다. 유형이 거의 다 들어 있다는 칭찬과, 문제 수가 많고 B에서 C로 난이도 점프가 크다는 불만이 함께 나옵니다.	C를 심화 입문으로 보는 쪽과, 건너뛰고 심화서로 가라는 쪽이 갈립니다.	5
rpm-mid	쎈과 같은 자리의 유형서입니다. 다음 단계가 아니라 경쟁작이라, 둘 다 하지 말고 하나만 여러 번 풀라는 말이 반복됩니다. 개념원리와 페이지가 이어져 짝으로 쓰기 좋다고 합니다.	중등에서 쎈과 거의 같다고 보는 쪽과, 체감 정답률은 쎈이 더 낮다고 보는 쪽이 갈립니다.	4
checkcheck	교과서와 비슷하거나 조금 위인 개념서. 개념을 짧게 끊고 바로 문제를 붙여서, 이해가 느린 학생에게 편하다는 말이 반복됩니다.		4
ilpum	쎈 다음의 준심화. 심화서 중에서는 쉬운 편이라 첫 심화서로 많이 씁니다. 최고난도 문항 수가 적다는 아쉬움이 함께 나옵니다.	진짜 심화로 보는 쪽과 준심화 워밍업으로 보는 쪽이 갈립니다.	4
blacklabel-mid	중등 심화의 대표. 일품보다 고난도 비율이 높다는 말이 반복됩니다.		4
gnw-high	고등 첫 개념서로 학원·과외에서 많이 씁니다. 정석보다 쉽다는 말과, 설명이 짧아 혼자 읽기에는 불친절하다는 말이 함께 나옵니다. 다음은 보통 RPM입니다.	짧은 설명을 군더더기 없다고 보는 쪽과 혼자서는 이해가 안 된다고 보는 쪽이 갈립니다.	3
mapl	기본 개념서가 아니라 심화 개념서로 봅니다. 개념과 해설이 매우 자세하다는 칭찬과, 분량이 너무 많아 진도가 오래 걸린다는 불만이 함께 나옵니다. 고등 첫 개념서로는 보통 권하지 않습니다.	수능형 문제가 장점인지, 첫 권으로 쓰면 치이는 함정인지 갈립니다.	4
suryeok	이름과 달리 개념서가 아니라 연산·기초 훈련서로 봅니다. 중학 연산이 흔들리는 학생이 고등 개념서에 들어가기 전 워밍업으로 쓴다는 말이 반복됩니다.		4
ssen-high	고등 유형서의 기준점. A는 교과서 수준, B가 핵심, C는 학평 준킬러급으로 크게 뜁니다. 중등 쎈을 생각하고 사면 놀란다는 말이 반복됩니다.	C를 꼭 풀어야 하는지에서 갈립니다.	4
lightssen-high	쎈보다 한 단계 아래. 쎈이 버거운 학생이나 중학생 선행에 씁니다. 얇고 부담이 적어 입문에 좋지만, 이것만으로 상위권·심화는 부족하다는 말이 함께 나옵니다.		4
